Property PK	Property Name	Operator GL PK	Operator Account Code	Operator Account Name	Primary GL PK	Primary Account Code	Primary Account Name	Month	Actual
1833	Oaks at Greenview, The	13019	1654-14	Siding- Ext	13019	1654-14	Siding- Ext	2017-07-01	
1833	Oaks at Greenview, The	13020	1656-07	Sanitary Lines - Mech	13020	1656-07	Sanitary Lines - Mech	2017-05-01	0.00
1833	Oaks at Greenview, The	13020	1656-07	Sanitary Lines - Mech	13020	1656-07	Sanitary Lines - Mech	2017-06-01	0.00
1833	Oaks at Greenview, The	13020	1656-07	Sanitary Lines - Mech	13020	1656-07	Sanitary Lines - Mech	2017-07-01	
1833	Oaks at Greenview, The	13021	1657-39	Other - Bus Ctr	13021	1657-39	Other - Bus Ctr	2017-05-01	0.00
1833	Oaks at Greenview, The	13021	1657-39	Other - Bus Ctr	13021	1657-39	Other - Bus Ctr	2017-06-01	0.00
1833	Oaks at Greenview, The	13021	1657-39	Other - Bus Ctr	13021	1657-39	Other - Bus Ctr	2017-07-01	
1833	Oaks at Greenview, The	13022	1657-45	Carpet - Model	13022	1657-45	Carpet - Model	2017-05-01	0.00
1833	Oaks at Greenview, The	13022	1657-45	Carpet - Model	13022	1657-45	Carpet - Model	2017-06-01	0.00
1833	Oaks at Greenview, The	13022	1657-45	Carpet - Model	13022	1657-45	Carpet - Model	2017-07-01	
1833	Oaks at Greenview, The	13023	1652-62	Golf Course Equip - Site	13023	1652-62	Golf Course Equip - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	13023	1652-62	Golf Course Equip - Site	13023	1652-62	Golf Course Equip - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	13023	1652-62	Golf Course Equip - Site	13023	1652-62	Golf Course Equip - Site	2017-07-01	
1833	Oaks at Greenview, The	18765	1657-22	Interior Upgrades - Fit Ctr	18765	1657-22	Interior Upgrades - Fit Ctr	2017-05-01	0.00
1833	Oaks at Greenview, The	18765	1657-22	Interior Upgrades - Fit Ctr	18765	1657-22	Interior Upgrades - Fit Ctr	2017-06-01	0.00
